number,english,irish
2196,mask road,bóthar loch measca
2197,maxwell lane,lána maxwell
2198,maxwell road,bóthar maxwell
2199,maxwell street,sráid maxwell
2200,may lane,lána may
2201,may street,sráid may
2202,mayfield gort,na bealtaine
2203,mayfield road,bóthar ghort na bealtaine
2204,mayfield road,east bóthar ghort na bealtaine
2205,mayor street lower,sráid an mhéara
2206,mayor street upper,sráid an mhéara
2206,mayor street,sráid an mhéara
2207,maywood avenue,ascaill maywood
2208,maywood close,clós maywood
2209,maywood crescent,corrán maywood
2210,maywood drive,céide maywood
2211,maywood grove,garrán maywood
2212,maywood lawn,plásóg maywood
2213,maywood park,páirc maywood
2214,mcauley avenue,ascaill nic amhlaí
2215,mcauley drive,céide nic amhlaí
2216,mcauley park,páirc nic amhlaí
2217,mcauley road,bóthar nic amhlaí
2218,mcdowell avenue,ascaill mhic dhúill
2219,mckee avenue,ascaill mhic aoidh
2220,mckee park,páirc mhic aoidh
2221,mckee road,bóthar mhic aoidh
2222,mckelvey avenue,ascaill mhic ghiolla bhuí
2223,mckelvey road,bóthar mhic ghiolla bhuí
2224,mcmahon street,sráid mhic mhathúna
2225,mcmorrough road,bóthar mhic mhurchú
2226,meade’s terrace,ardán an mhígh
2227,meadow view,radharc na cluana
2228,"meadows, the",na cluainte
2229,meath market,margadh na mí
2230,meath place,plás na mí
2231,meath square,cearnóg na mí
2232,meath street,sráid na mí
2233,meeting house square,cearnóg theach an tionóil
2234,meetinghouse lane,lána theach an tionóil
2235,mellowes avenue,ascaill uí mhaoilíosa
2236,mellowes crescent,corrán uí mhaoilíosa
2237,mellowes park,páirc uí mhaoilíosa
2238,mellowes road,bóthar uí mhaoilíosa
2239,melrose avenue,ascaill mhaolrosa
2240,melrose court,cúirt mhaolrosa
2241,melvin road,bóthar loch meilbhe
2242,memorial road,bóthar an chuimhneacháin
2243,mercer street lower,sráid mercer
2244,mercer street upper,sráid mercer
2244,mercer street,sráid mercer
2245,merchants quay,cé na gceannaithe
2246,merchants road,bóthar na gceannaithe
2247,merchants square,cearnóg na gceannaithe
2248,merlyn drive,céide merlyn
2249,merlyn park,páirc merlyn
2250,merlyn road,bóthar merlyn
2251,merrion close,clós mhuirfean
2252,merrion place,plás mhuirfean
2253,merrion road,bóthar mhuirfean
2254,merrion row,rae mhuirfean
2255,merrion square,east cearnóg mhuirfean thoir
2256,merrion square,north cearnóg mhuirfean thuaidh
2257,merrion square,south cearnóg mhuirfean theas
2258,merrion square,west cearnóg mhuirfean thiar
2259,merrion street,sráid mhuirfean
2260,merrion street upper,sráid mhuirfean
2261,merrion view avenue,ascaill radharc mhuirfean
2262,merton avenue,ascaill merton
2263,merton drive,céide merton
2264,merton park,páirc merton
2265,merton road,bóthar merton
2266,merville avenue,ascaill merville
2267,mespil road,bóthar mespil
2268,"mews, the",an eachlann
2269,military road,an bóthar míleata
2270,mill street,sráid an mhuilinn
2271,millbourne avenue,ascaill shruth an mhuilinn
2272,millbrook avenue,ascaill shruthán an mhuilinn
2273,millbrook drive,céide shruthán an mhuilinn
2274,millbrook grove,garrán shruthán an
2275,millbrook road,bóthar shruthán an
2276,millbrook terrace,ardán shruthán an mhuilinn
2277,millbrook village,sráidbhaile shruthán an
2278,millmount avenue,ascaill chnocán an
2279,millmount place,plás chnocán an mhuilinn
2280,millmount terrace,ardán chnocán an mhuilinn
2281,millmount villas,bailtíní chnocán an
2282,millrose estate,eastát rós an mhuilinn
2283,milltown road,bóthar bhaile an mhuilinn
2284,millview cottages,iostáin radharc an mhuilinn
2285,millwood park,páirc choill an mhuilinn
2286,millwood villas,bailtíní choill an mhuilinn
2287,misery hill,cnoc na hainnise
2288,moat lane,lána an mhóta
2289,moatfield avenue,ascaill ghort an mhóta
2290,moatfield park,páirc ghort an mhóta
2291,moatfield road,bóthar ghort an mhóta
2292,moatview avenue,ascaill radharc an mhóta
2293,moatview court,cúirt radharc an mhóta
2294,moatview drive,céide radharc an mhóta
2295,moatview gardens,gairdíní radharc an mhóta
2296,moatview terrace,ardán radharc an mhóta
2297,moeran road,bóthar uí mhóráin
2298,moira villas,bailtíní mhaigh rath
2299,moland place,plás moland
2300,molesworth place,plás theach laighean
2301,molesworth street,sráid theach laighean
2302,monasterboice road,bóthar mhainistir bhuithe
2303,monck place,plás monck
2304,montague court,cúirt montague
2305,montague lane,lána montague
2306,montague street,sráid montague
2307,montpelier drive,céide montpelier
2308,montpelier gardens,gairdíní montpelier
2309,montpelier hill,cnoc montpelier
2310,montpelier park,páirc montpelier
2311,montrose avenue,ascaill mhonadh rois
2312,montrose close,clós mhonadh rois
2313,montrose court,cúirt mhonadh rois
2314,montrose crescent,corrán mhonadh rois
2315,montrose drive,céide mhonadh rois
2316,montrose grove,garrán mhonadh rois
2317,montrose park,páirc mhonadh rois
2318,moore lane,lána an mhúraigh
2319,moore street,sráid an mhúraigh
2320,morehampton lane,lána morehampton
2321,morehampton road,bóthar morehampton
2322,morehampton square,cearnóg morehampton
2323,morehampton terrace,ardán morehampton
2324,morning star avenue,ascaill réalta na maidine
2325,morning star road,bóthar réalta na maidine
2326,mornington grove,garrán bhaile uí mhornáin
2327,mornington road,bóthar bhaile uí mhornáin
2328,"moorings, the an tionad feistithe",
2329,morroch terrace,ardán mhurcha
2330,moss street,sráid moss
2331,mount argus avenue,ascaill chnocán argos
2332,mount argus close,clós chnocán argos
2333,mount argus court,cúirt chnocán argos
2334,mount argus crescent,corrán chnocán argos
2335,mount argus green,faiche chnocán argos
2336,mount argus grove,garrán chnocán argos
2337,mount argus park,páirc chnocán argos
2338,mount argus road,bóthar chnocán argos
2339,mount argus terrace,ardán chnocán argos
2340,mount argus view,radharc chnocán argos
2341,mount argus way,bealach chnocán argos
2342,mount drummond avenue,ascaill chnocán drummond
2343,mount drummond square,cearnóg chnocán
2344,mount eden road,bóthar chnocán éidin
2345,mount olive grove,garrán chnocán na
2346,mount olive park,páirc chnocán na holóige
2347,mount olive road,bóthar chnocán na holóige
2348,mount pleasant avenue upper,ascaill chnocán aoibhinn
2349,mount prospect avenue,ascaill chnocán an
2350,mount prospect drive,céide chnocán an
2351,mount prospect grove,garrán chnocán an
2352,mount prospect park,páirc chnocán an radhairc
2353,mount street crescent,corrán shráid an mhóta
2354,mount street lower,sráid an mhóta
2355,mount street upper,sráid an mhóta
2355,mount street,sráid an mhóta
2356,mount tallant avenue,ascaill chnocán tallant
2357,mount temple road,bóthar chnocán an
2358,mountain view avenue,ascaill radharc an tsléibhe
2359,mountain view cottages,iostáin radharc an tsléibhe
2360,mountain view road,bóthar radharc an tsléibhe
2361,mountjoy parade,paráid mhuinseo
2362,mountjoy place,plás mhuinseo
2363,mountjoy square,east cearnóg mhuinseo thoir
2364,mountjoy square,north cearnóg mhuinseo thuaidh
2365,mountjoy square,south cearnóg mhuinseo theas
2366,mountjoy square,west cearnóg mhuinseo thiar
2367,mountjoy street,sráid mhuinseo
2368,mountjoy street middle,sráid mhuinseo láir
2369,mountpelier court,cúirt montpelier
2370,mountpleasant avenue lower,ascaill chnocán aoibhinn
2371,mountpleasant parade,paráid chnocán aoibhinn
2372,mountpleasant place,plás chnocán aoibhinn
2373,mountpleasant square,cearnóg chnocán aoibhinn
2374,mountpleasant terrace,ardán chnocán aoibhinn
2375,mountpleasant terrace upper,ardán chnocán aoibhinn
2376,mountpleasant villas,bailtíní chnocán aoibhinn
2377,mountshannon road,bóthar bhaile uí bheoláin
2378,mourne road,bóthar bheanna boirche
2379,moy elta road,bóthar mhaigh ealta
2380,moycullen road,bóthar mhaigh cuilinn
2381,moyle road,bóthar na maoile
2382,moyne court,cúirt na maighne
2383,moyne road,bóthar na maighne
2384,muckross parade,paráid mhucrois
2385,muirfield drive,céide muirfield
2386,mulroy road,bóthar na maoile rua
2387,munster street,sráid na mumhan
2388,murray’s cottages,iostáin uí mhuirí
2389,murtagh road,bóthar uí mhuircheartaigh
2390,muskerry road,bóthar mhúscraí
2391,myra close,clós mháire
2392,myrtle street,sráid an mhiortail
2393,naas road,bóthar an náis
2394,nanikin avenue,ascaill an nainicín
2395,nash street,sráid an naisigh
2396,nassau street,sráid nassau
2397,navan road,bóthar na huaimhe
2398,neagh road,bóthar loch neathach
2399,nelson street,sráid nelson
2400,nephin road,bóthar néifinne
2401,nerney’s court,cúirt mhic an airchinnigh
2402,neville road,bóthar neville
2403,new ireland court,cúirt éireann nua
2404,new road,an bóthar nua
2405,new row,an rae nua
2406,new row,south an rae nua theas
2407,new row square,cearnóg an rae nua
2408,new street gardens,gairdiní na sráide nua
2409,new street,north an tsráid nua thuaidh
2410,new street,south an tsráid nua theas
2411,new wapping street,sráid wapping nua
2412,newbridge avenue,ascaill an droichid nua
2413,newbridge drive,céide an droichid nua
2414,newbrook avenue,ascaill an tsrutháin nua
2415,newbrook road,bóthar an tsrutháin nua
2416,newbury avenue,ascaill newbury
2417,newbury drive,céide newbury
2418,newbury grove,garrán newbury
2419,newbury park,páirc newbury
2420,newbury terrace,ardán newbury
2421,newcomen avenue,ascaill newcomen
2422,newgrange road,bóthar shí an bhrú
2423,newgrove avenue,ascaill an gharráin nua
2424,newgrove estate,eastát an gharráin nua
2425,newmarket street,sráid an mhargaidh
2426,newport street,sráid an phoirt nua
2427,newtown cottages,iostáin an bhaile nua
2428,newtown drive,céide an bhaile nua
2429,niall street,sráid néill
2430,nicholas avenue,ascaill niocláis
2431,nicholas street,sráid niocláis
2432,nore road,bóthar na feoire
2433,norfolk road,bóthar norfolk
2434,norseman place,plás an lochlannaigh
2435,north bull island,oileán an bhulla thuaidh
2436,north circular road,an cuarbhóthar thuaidh
2437,north great clarence street,sráid clarence mhór
2438,north great george’s street,sráid sheoirse mhór
2439,north road,an bóthar thuaidh
2440,north strand road,bóthar na trá thuaidh
2441,north wall quay,cé an phoirt thuaidh
2442,northbrook avenue,ascaill northbrook
2443,northbrook avenue lower,ascaill northbrook
2444,northbrook avenue upper,ascaill northbrook
2445,northbrook lane,lána northbrook
2446,northbrook road,bóthar northbrook
2447,northbrook terrace,ardán northbrook
2448,northbrook walk,siúlán northbrook
2449,northland drive,céide an fhearainn
2450,northland grove,garrán an fhearainn
2451,northumberland place,plás northumberland
2452,northumberland road,bóthar northumberland
2453,northway estate,eastát an bhealaigh
2454,norton’s avenue,ascaill uí neachtain
2455,norwood park,páirc norwood
2456,nottingham street,sráid nottingham
2457,nunciature road,bóthar na nuinteasachta
2458,nurney lawn,plásóg na hurnaí
2459,nutley avenue,ascaill nutley
2460,nutley lane,lána nutley
2461,nutley park,páirc nutley
2462,nutley road,bóthar nutley
2463,oak apple green,faiche ghál darach
2464,oak park avenue,ascaill pháirc na darach
2465,oak park close,clós pháirc na darach
2466,oak park drive,céide pháirc na darach
2467,oak park grove,garrán pháirc na darach
2468,oak road,bóthar na darach
2469,oakfield place,plás ghort na darach
2470,oaklands crescent,corrán fhearann dara
2471,oaklands drive,céide fhearann dara
2472,oaklands park,páirc fhearann dara
2473,oaklands terrace,ardán fhearann dara
2474,oakley park,páirc oakley
2475,oakley road,bóthar oakley
2476,oakley square,cearnóg oakley
2477,"oaks, the",na daracha
2478,oakwood avenue,ascaill choill darach
2479,oakwood close,clós choill darach
2480,oakwood park,páirc choill darach
2481,oakwood road,bóthar choill darach
2482,oblate drive,céide na noblátach
2483,o’brien road,bóthar uí bhriain
2484,o’brien’s place,plás uí bhriain
2485,o’brien’s terrace,ardán uí bhriain
2486,observatory lane,lána na réadlainne
2487,o’carolan road,bóthar uí chearúlláin
2488,o’casey avenue,ascaill uí chathasaigh
2489,o’connell avenue,ascaill uí chonaill
2490,o’connell gardens,gairdíní uí chonaill
2491,o’connell street lower,sráid uí chonaill
2492,o’connell street upper,sráid uí chonaill
2492,o’connell street,sráid uí chonaill
2493,o’curry avenue,ascaill uí chomhraí
2494,o’curry road,bóthar uí chomhraí
2495,o’daly road,bóthar uí dhálaigh
2496,odd lamp road,bóthar an chorrlampa
2497,o’devaney gardens,gairdíní uí dhuibheannaigh
2498,o’donoghue street,sráid uí dhonnchú
2499,o’donovan road,bóthar uí dhonnabháin
2500,o’dwyer road,bóthar uí dhuibhir
2501,offaly road,bóthar uíbh fhailí
2502,o’hara avenue,ascaill uí eára
2503,o’hogan road,bóthar uí ógáin
2504,olaf road,bóthar san amhlaoibh
2505,old cabra road,seanbhóthar na cabraí
2506,old county glen,seanghleann an chontae
2507,old county road,seanbhóthar an chontae
2508,old naas road,seanbhóthar an náis
2509,oldtown avenue,ascaill an tseanbhaile
2510,oldtown park,páirc an tseanbhaile
2511,oldtown road,bóthar an tseanbhaile
2512,o’leary road,bóthar uí laoire
2513,oliver bond street,sráid oliver bond
2514,oliver plunkett avenue,ascaill oilibhéir pluincéid
2515,olney crescent,corrán olney
2516,olney grove,garrán olney
2517,o’moore road,bóthar uí mhóra
2518,o’neachtain road,bóthar uí neachtain
2519,o’neill’s buildings,foirgnimh uí néill
2520,ontario terrace,ardán ontario
2521,o’quinn avenue,ascaill uí chuinn
2522,o’rahilly parade,paráid uí rathaille
2523,oranmore close,clós órán mór
2524,oranmore road,bóthar órán mór
2525,orchard lane,lána an úlloird
2526,orchard road,bóthar an úlloird
2527,"orchard, the",an túllord
2528,ordnance survey road,bóthar na suirbhéireachta
2529,o’reilly avenue,ascaill uí raghallaigh
2530,oriel hall hall,a oiriall
2531,oriel street lower,sráid oiriall
2532,oriel street upper,sráid oiriall
2532,oriel street,sráid oiriall
2533,ormeau street,sráid ormeau
2534,ormond place,plás urumhan
2535,ormond quay lower,cé urumhan
2536,ormond quay upper,cé urumhan
2536,ormond quay,cé urumhan
2537,ormond road,bóthar urumhan
2538,ormond road,south bóthar urumhan theas
2539,ormond square,cearnóg urumhan
2540,orwell mews,eachlann orwell
2541,orwell park,páirc orwell
2542,orwell road,bóthar orwell
2543,oscar square,cearnóg oscair
2544,oscar traynor road,bóthar oscair mhic thréinir
2545,ossory road,bóthar osraí
2546,ostman place,plás na lochlannach
2547,o’sullivan avenue,ascaill uí shuilleabháin
2548,oswald road,bóthar oswald
2549,oulton road,bóthar oulton
2550,our lady’s close,clós mhuire
2551,our lady’s road,bóthar mhuire
2552,ovoca road,bóthar abhóca
2553,owen’s avenue,ascaill eoghain
2554,oxford road,bóthar oxford
2555,oxmantown lane,lána bhaile na
2556,oxmantown road,bóthar bhaile na
2557,"paddock, the",an peadac
2558,"paddocks, the",na peadaic
2559,palace street,sráid an pháláis
2560,palmerston close,clós bhaile phámar
2561,palmerston court,cúirt bhaile phámar
2562,palmerston gardens,gairdíní bhaile phámar
2563,palmerston grove,garrán bhaile phámar
2564,palmerston lane,lána bhaile phámar
2565,palmerston park,páirc bhaile phámar
2566,palmerston place,plás bhaile phámar
2567,palmerston road,bóthar bhaile phámar
2568,palmerston villas,bailtíní bhaile phámar
2569,paradise place,plás pharthais
2570,park avenue,ascaill na páirce
2571,park court,cúirt na páirce
2572,park crescent,corrán na páirce
2573,park drive,céide na páirce
2574,park lane,lána na páirce
2575,park lane,east lána na páirce thoir
2576,park lawn,plásóg na páirce
2577,park road,bóthar na páirce
2578,park street,west sráid na páirce thiar
2579,park terrace,ardán na páirce
2580,"park, the",an pháirc
2581,park view,radharc na páirce
2582,park west industrial estate,eastát tionscail na páirce
2583,parker hill,cnoc pháircéir
2584,parkgate street,sráid gheata na páirce
2585,parkmore drive,céide na páirce móire
2586,parkview avenue,ascaill radharc na páirce
2587,parkview court,cúirt radharc na páirce
2588,parkview place,plás radharc na páirce
2589,parkwest industrial park,páirc thionscail na páirce
2590,parkwest road,bóthar na páirce thiar
2591,parliament street,sráid na parlaiminte
2592,parnell avenue,ascaill parnell
2593,parnell court,cúirt parnell
2594,parnell place,plás parnell
2595,parnell road,bóthar parnell
2596,parnell square,east cearnóg parnell thoir
2597,parnell square,north cearnóg parnell thuaidh
2598,parnell square,west cearnóg parnell thiar
2599,parnell street,sráid parnell
2600,partridge terrace,ardán partridge
2601,patrick street,sráid phádraig
2602,patrickswell court,cúirt thobar phádraig
2603,patrickswell place,plás thobar phádraig
2604,paul street,sráid phóil
2605,pearse grove,garrán an phiarsaigh
2606,pearse square,cearnóg an phiarsaigh
2607,pearse street,sráid an phiarsaigh
2608,pembroke cottages,iostáin pheambróg
2609,pembroke gardens,gairdíní pheambróg
2610,pembroke lane,lána pheambróg
2611,pembroke park,páirc pheambróg
2612,pembroke place,plás pheambróg
2613,pembroke road,bóthar pheambróg
2614,pembroke row,rae pheambróg
2615,pembroke street,sráid pheambróg
2616,pembroke street lower,sráid pheambróg
2617,pembroke street upper,sráid pheambróg
2618,penrose street,sráid penrose
2619,percy french road,bóthar percy french
2620,percy lane,lána percy
2621,percy place,plás percy
2622,peter place,plás pheadair
2623,peter row,rae pheadair
2624,peter street,sráid pheadair
2625,peterson’s court,cúirt mhic pheadair
2626,petrie road,bóthar petrie
2627,phibsborough avenue,ascaill bhaile phib
2628,phibsborough place,plás bhaile phib
2629,phibsborough road,bóthar bhaile phib
2630,philipsburgh avenue,ascaill bhaile phib
2631,philipsburgh terrace,ardán bhaile phib
2632,philomena terrace,ardán san filimín
2633,phoenix court,cúirt an fhionnuisce
2634,phoenix street,north sráid an fhionnuisce
2635,phoenix street,west sráid an fhionnuisce theas
2636,pig lane,lána na muice
2637,pigeon house road,bóthar theach na gcolúr
2638,pim street,sráid pim
2639,pimlico cottages,iostáin pimlico
2640,pine road,bóthar pine
2641,pinebrook avenue,ascaill shruthán na giúise
2642,pinebrook crescent,corrán shruthán na giúise
2643,pinebrook drive,céide shruthán na giúise
2644,pinebrook grove,garrán shruthán na giúise
2645,pinebrook rise,ard shruthán na giúise
2646,pinebrook road,bóthar shruthán na giúise
2647,pinewood avenue,ascaill choill na giúise
2648,pinewood crescent,corrán choill na giúise
2649,pinewood drive,céide choill na giúise
2650,pinewood green,faiche choill na giúise
2651,pinewood grove,garrán choill na giúise
2652,pinewood villas,bailtíní choill na giúise
2653,"pines, the",na giúiseanna
2654,pleasants lane,lána pleasants
2655,pleasants place,plás pleasants
2656,pleasants street,sráid pleasants
2657,plunkett avenue,ascaill phluincéid
2658,plunkett crescent,corrán phluincéid
2659,plunkett drive,céide phluincéid
2660,plunkett green,faiche phluincéid
2661,plunkett grove,garrán phluincéid
2662,plunkett road,bóthar phluincéid
2663,poddle close,clós an phoitéil
2664,poddle green,faiche an phoitéil
2665,poddle park,páirc an phoitéil
2666,poddle park road,bóthar pháirc an phoitéil
2667,polo road,bóthar an phóló
2668,poolbeg street,sráid an phoill bhig
2669,poole street,sráid poole
2670,poplar row,rae na poibleoige
2671,portland close,clós portland
2672,portland court,cúirt portland
2673,portland place,plás portland
2674,portland row,rae portland
2675,portland street,north sráid portland thuaidh
2676,portland street,west sráid portland thiar
2677,portmahon drive,céide portmahon
2678,portobello place,plás portobello
2679,portobello road,bóthar portobello
2680,power’s court,cúirt an phaoraigh
2681,power’s square,cearnóg an phaoraigh
2682,prebend street,sráid na preibinde
2683,preston street,sráid an phriostúnaigh
2684,price’s lane,lána an phrísigh
2685,price’s place,plás an phrísigh
2686,priestfield cottages,iostáin ghort an tsagairt
2687,priestfield drive,céide ghort an tsagairt
2688,primrose avenue,ascaill an tsabhaircín
2689,primrose grove,garrán an tsabhaircín
2690,primrose street,sráid an tsabhaircín
2691,prince arthur terrace,ardán an phrionsa artúr
2692,prince of wales terrace,ardán phrionsa na
2693,prince’s street,south sráid an phrionsa theas
2694,priory road,bóthar na prióireachta
2695,promenade road,bóthar an phromanáid
2696,prospect avenue,ascaill na radharc
2697,prospect court,cúirt na radharc
2698,prospect lane,lána na radharc
2699,prospect road,bóthar na radharc
2700,prospect square,cearnóg na radharc
2701,protestant row,rae na bprotastúnach
2702,proud’s lane,lána an phrútaigh
2703,provost row,rae an phropaist
2704,prussia street,sráid na prúise
2705,pudding row,rae na putóige
2706,purser gardens,gairdíní purser
2707,pyro villas,bailtíní pyro
2708,quarry cottages,iostáin an choiréil
2709,quarry road,bóthar an choiréil
2710,queen street,sráid na banríona
2711,rafter’s avenue,ascaill uí reachtúir
2712,rafter’s lane,lána uí reachtúir
2713,rafter’s road,bóthar uí reachtúir
2714,raglan lane,lána raglan
2715,raglan road,bóthar raglan
2716,raheen drive,céide an ráithín
2717,raheen park,páirc an ráithín
2718,raheny park,páirc ráth eanaigh
2719,raheny road,bóthar ráth eanaigh
2720,railway avenue,ascaill an iarnróid
2721,railway cottages,iostáin an iarnróid
2722,railway street,sráid an iarnróid
2723,railway terrace,ardán an iarnróid
2724,rainsford avenue,ascaill rainsford
2725,rainsford street,sráid rainsford
2726,raleigh square,cearnóg raleigh
2727,ramillies road,bóthar ramillies
2728,ramleh close,clós ramleh
2729,ramleh park,páirc ramleh
2730,rampart lane,lána an rampair
2731,ranelagh avenue,ascaill raghnallach
2732,ranelagh road,bóthar raghnallach
2733,raphoe road,bóthar ráth bhoth
2734,rathdown avenue,ascaill ráth an dúin
2735,rathdown court,cúirt ráth an dúin
2736,rathdown crescent,corrán ráth an dúin
2737,rathdown drive,céide ráth an dúin
2738,rathdown park,páirc ráth an dúin
2739,rathdown road,bóthar ráth an dúin
2740,rathdown square,cearnóg ráth an dúin
2741,rathdown villas,bailtíní ráth an dúin
2742,rathdrum road,bóthar ráth droma
2743,rathfarnham road,bóthar ráth fearnáin
2744,rathgar avenue,ascaill ráth garbh
2745,rathgar park,páirc ráth garbh
2746,rathgar road,bóthar ráth garbh
2747,rathgar villas,bailtíní ráth garbh
2748,rathlin road,bóthar reachlainn
2749,rathmines avenue,ascaill ráth maonais
2750,rathmines close,clós ráth maonais
2751,rathmines park,páirc ráth maonais
2752,rathmines road lower,bóthar ráth maonais
2753,rathmines road upper,bóthar ráth maonais
2754,rathmore park,páirc na rátha móire
2755,rathmore villas,bailtíní na rátha móire
2756,rathvale avenue,ascaill ghleann na rátha
2757,rathvale drive,céide ráth an ghleanna
2758,rathvale grove,garrán ráth an ghleanna
2759,rathvale park,páirc ráth an ghleanna
2760,rathvilly drive,céide ráth bhile
2761,rathvilly park,páirc ráth bhile
2762,rathvilly road,bóthar ráth bhile
2763,ratoath avenue,ascaill ráth tó
2764,ratoath drive,céide ráth tó
2765,ratoath estate,eastát ráth tó
2766,ratoath road,bóthar ráth tó
2767,ratra park,páirc ráth an tsratha
2768,ratra road,bóthar ráth an tsratha
2769,ravens court,cúirt na bhfiach
2770,ravensdale close,clós ghleann na bhfiach
2771,ravensdale drive,céide ghleann na bhfiach
2772,ravensdale park,páirc ghleann na bhfiach
2773,ravensdale road,bóthar ghleann na bhfiach
2774,raymond street,sráid réamainn
2775,rectory green,faiche theach an
2776,red cow lane,lána na bó deirge
2777,redmond’s court,cúirt mhic réamainn
2778,redmond’s hill,cnoc réamainn
2779,reginald square,cearnóg reginald
2780,reginald street,sráid reginald
2781,rehoboth avenue,ascaill rehoboth
2782,rehoboth place,plás rehoboth
2783,reilly’s avenue,ascaill uí raghallaigh
2784,reuben avenue,ascaill reuben
2785,reuben street,sráid reuben
2786,rialto cottages,iostáin rialto
2787,rialto drive,céide rialto
2788,rialto street,sráid rialto
2789,ribh avenue,ascaill loch rí
2790,ribh road,bóthar loch rí
2791,richelieu park,páirc richelieu
2792,richmond avenue,ascaill richmond
2793,richmond avenue,south ascaill richmond theas
2794,richmond cottages,iostáin richmond
2795,richmond cottages,north iostáin richmond thuaidh
2796,richmond crescent,corrán richmond
2797,richmond estate,eastát richmond
2798,richmond hill,cnoc richmond
2799,richmond lane,lána richmond
2800,richmond mews,eachlann richmond
2801,richmond parade,paráid richmond
2802,richmond place,plás richmond
2803,richmond place,south plás richmond theas
2804,richmond road,bóthar richmond
2805,richmond row,rae richmond
2806,richmond street,north sráid richmond thuaidh
2807,richmond street,south sráid richmond theas
2808,richview park,páirc richview
2809,ring street,sráid uí rinn
2810,ring terrace,ardán uí rinn
2811,ringsend park,páirc na rinne
2812,ringsend road,bóthar na rinne
2813,"rise, the",an tard
2814,river gardens,gairdíní na habhann
2815,river road,bóthar na habhann
2816,riversdale avenue,ascaill ghleanntán na
2817,riversdale grove,garrán ghleanntán na
2818,riverside avenue,ascaill chois abhann
2819,riverside crescent,corrán chois abhann
2820,riverside drive,céide chois abhann
2821,riverside grove,garrán chois abhann
2822,riverside park,páirc chois abhann
2823,riverside road,bóthar chois abhann
2824,robert place,plás an riobardaigh
2825,robert street,sráid an riobardaigh
2826,robert street,south sráid an riobardaigh theas
2827,roger’s lane,lána rogers
2828,roosevelt cottages,iostáin roosevelt
2829,rope walk place,plás na rópaí
2830,rosary road,bóthar na corónach muire
2831,rosary terrace,ardán na corónach muire
2832,roseglen avenue,ascaill ghleann na rós
2833,roseglen road,bóthar ghleann na rós
2834,rosemount avenue,ascaill chnocán na rós
2835,rosemount road,bóthar chnocán na rós
2836,ross road,bóthar an rosa
2837,ross street,sráid an rosa
2838,rossmore avenue,ascaill ros mór
2839,rossmore drive,céide ros mór
2840,rossmore road,bóthar ros mór
2841,rostrevor road,bóthar ros treabhair
2842,rostrevor terrace,ardán ros treabhair
2843,rowserstown lane,lána bhaile rowser
2844,royal canal court,cúirt na canálach ríoga
2845,royal canal place,plás na canálach ríoga
2846,royal canal terrace,ardán na canálach ríoga
2847,royal oak cottages,iostáin na darach ríoga
2848,royse road,bóthar royse
2849,royston village,sráidbhaile royston
2850,rugby road,bóthar rugby
2851,rugby villas,bailtíní rugby
2852,russell avenue,ascaill an ruiséalaigh
2853,russell avenue,east ascaill an ruiséalaigh thoir
2854,russell street,sráid an ruiséalaigh
2855,rutland avenue,ascaill rutland
2856,rutland cottages,iostáin rutland
2857,rutland grove,garrán rutland
2858,rutland place,plás rutland
2859,rutland place,north plás rutland thuaidh
2860,rutland row,rae rultland
2861,rutland street lower,sráid rutland
2862,rutledge terrace,ardán rutledge
2863,ryder’s row,rae uí mharcaigh
2864,sackville avenue,ascaill sackville
2865,sackville gardens,gairdíní sackville
2866,sackville place,plás sackville
2867,saddlers court,cúirt an diallatóra
2868,saint agnes’ park,páirc san aignéas
2869,saint agnes’ road,bóthar san aignéas
2870,saint agnes’ terrace,ardán san aignéas
2871,saint aidan’s park,páirc aodháin
2872,saint aidan’s park avenue,ascaill pháirc aodháin
2873,saint aidan’s park road,bóthar pháirc aodháin
2874,saint alban’s park,páirc san albán
2875,saint alban’s road,bóthar san albán
2876,saint alphonsus’ avenue,ascaill san alfonsas
2877,saint alphonsus’ road lower,bóthar san alfonsas
2878,saint alphonsus’ road upper,bóthar san alfonsas
2879,saint andrew’s lane,lána san aindrias
2880,saint andrew’s street,sráid san aindrias
2881,saint anne’s avenue,ascaill san anna
2882,saint anne’s drive,céide san anna
2883,saint anne’s road,bóthar san anna
2884,saint anne’s terrace,ardán san anna
2885,saint anthony’s road,bóthar san antaine
2886,saint assam’s avenue,ascaill san asam
2887,saint assam’s drive,céide san asam
2888,saint assam’s park,páirc san asam
2889,saint assam’s road,east bóthar san asam thoir
2890,saint assam’s road,west bóthar san asam thiar
2891,saint attracta’s road,bóthar athracht
2892,saint audeon’s terrace,ardán san audoen
2893,saint augustine street,sráid san agaistín
2894,saint barnabas gardens,gairdíní san barnabas
2895,saint benedict’s gardens,gairdíní san beinidict
2896,saint brendan’s avenue,ascaill bhréanainn
2897,saint brendan’s cottages,iostáin bhréanainn
2898,saint brendan’s drive,céide bhréanainn
2899,saint brendan’s park,páirc bhréanainn
2900,saint brendan’s road,bóthar bhréanainn
2901,saint brendan’s terrace,ardán bhréanainn
2902,saint bricin’s park,páirc bhricín
2903,saint brigid’s avenue,ascaill bhríde
2904,saint brigid’s close,clós bhríde
2905,saint brigid’s cottages,iostáin bhríde
2906,saint brigid’s crescent,corrán bhríde
2907,saint brigid’s drive,céide bhríde
2908,saint brigid’s green,faiche bhríde
2909,saint brigid’s grove,garrán bhríde
